Name,City,State,Zip,EIN,Source,Goals,Category of Work,Methods,Focus Areas
"Kentucky Health Departments Association, Inc.",Frankfort,KY,40601,311535010,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Kern County Superintendent of Schools,Bakersfield,CA,93301,956000941,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Keystone SMILES Community Learning Center, Inc.",Knox,PA,16232,251764570,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Ki Bois Community Action Foundation Inc,Stigler,OK,74462,730770231,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
"Kid Power, Inc.",Washington,DC,20024,262333511,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
"Kids in Tech, Inc.",Lowell,MA,01854,813311916,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Knoxville Knox County Community Action Committee,Knoxville,TN,37921,626000700,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
Kokua Kalihi Valley Comprehensive Family Services,Honolulu,HI,96819,990149797,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
"Korean Community Services of Metropolitan New York, Inc.",Bayside,NY,11361,237348989,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Kupu,Honolulu,HI,96813,510652665,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Environmental Stewardship
LA PUENTE HOME INC,Alamosa,CO,81101,742224631,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
LA WORKS,Los Angeles,CA,90065,954329727,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity; Education; Healthy Futures
"LAFAYETTE COUNCIL ON THE AGING, INC.",Lafayette,LA,70508,720649877,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
LBJ & C DEVELOPMENT CORP,Cookeville,TN,38501,620724384,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
"LEEZA GIBBONS MEMORY FOUNDATION, INC.",West Hollywood,CA,90048,562356697,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"LENAWEE, COUNTY OF",Adrian,MI,49221,386005798,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
LEO INC,Lynn,MA,01901,042378885,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
"LIFESPAN OF GREATER ROCHESTER, INC.",Rochester,NY,14618,160986298,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
LINC ST. CHARLES COUNTY,Wentzville,MO,63385,431632556,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"LITERACY ALLIANCE OF NORTHEAST FLORIDA, INC.",Jacksonville,FL,32202,237153919,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
"LITERACY DELAWARE, INC.",Wilmington,DE,19801,510410054,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
LITERACY VOLUNTEERS OF AMERICA-LACLEDE LITERACY COUNCIL,Lebanon,MO,65536,431499659,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education
LITERATIONS CORP.,Boston,MA,02110,043227007,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
LIVE THE SOLUTION,Tucson,AZ,85704,261151754,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
LOU CNTRL COMMUNITY CENTER INC,Louisville,KY,40203,610590743,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,Louisville,KY,40202,320049006,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
LUTHERAN HOMES INC.,Fort Wayne,IN,46816,350885590,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"LUTHERAN SOCIAL SERVICES OF UPSTATE NEW YORK, INC.",Jamestown,NY,14701,160765309,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Environmental Stewardship; Healthy Futures
LYCOMING-CLINTON COUNTIES COMMISSION FOR COMMUNITY ACTION INC,Williamsport,PA,17701,231668784,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Lake Avenue Community Foundation,Pasadena,CA,91101,954847950,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Lake County Community Fund,Leadville,CO,80461,814684882,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"Lancaster County Council on Aging, Inc.",Lancaster,SC,29720,570161585,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Land And Natural Resources, Hawaii Dept Of",Honolulu,HI,96813,990266119,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Land of Lincoln Legal Aid,East Saint Louis,IL,62203,370958448,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Land of Sky Regional Council,Asheville,NC,28806,561024369,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Lane College,Jackson,TN,38301,620570060,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Lane Community College,Eugene,OR,97405,930546223,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Latin American Association Inc,Atlanta,GA,30324,581237316,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
"Latin American Youth Center, Inc",Washington,DC,20009,521023074,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Laurel,Laurel,MS,39440,640527224,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Lawrence, City of",Lawrence,MA,01840,046001394,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Lead Up,Lincoln,NE,68508,815090400,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
LearnServe International,Washington,DC,20015,800208444,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Lee County Literacy Coalition,Opelika,AL,36801,631010124,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Leeward District ELL Program,Waipahu,HI,96797,990266482,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Legacy Community Health Services Inc,Houston,TX,77006,760009637,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Legal Aid Society of Hawaii,Honolulu,HI,96813,990076020,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
"Legal Assistance of Western New York, Inc.",Geneva,NY,14456,160955954,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
"Lessie Bates Davis Neighborhood House, Inc.",East Saint Louis,IL,62205,370662522,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
Lewis County Seniors,Chehalis,WA,98532,911171354,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Life & Discovery Inc,Frederick,MD,21701,861140556,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
LifeLong Medical Care,Berkeley,CA,94710,942502308,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Lifecycle Building Center,Atlanta,GA,30357,452645951,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
"Lifescape Community Services, Inc.",Rockford,IL,61101,363303361,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
Lift Community Action Agency Inc,Hugo,OK,74743,730772321,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
LiftFund Inc,San Antonio,TX,78207,742712770,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Lilyfield Inc,Edmond,OK,73013,731597486,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Lincoln Hills Development Corporation,Tell City,IN,47586,351112746,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Lincoln University,Jefferson City,MO,65101,446001089,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Literacy Coalition-South Central Arkansas,Camden,AR,71701,710702254,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Literacy Kansas City,Kansas City,MO,64109,431435729,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
"Literacy Lab, The",Washington,DC,20036,271777117,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Literacy Mid-South,Memphis,TN,38104,620960143,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Literacy Minnesota,Saint Paul,MN,55114,411916004,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Literacy New Jersey Inc,Edison,NJ,08837,521146384,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Literacy Pittsburgh,Pittsburgh,PA,15219,251392652,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education
Literacy Volunteers Of Illinois,Chicago,IL,60603,363244036,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education
Little Iron Mom,Cedar Falls,IA,50613,822214679,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
"Little Rock, City Of",Little Rock,AR,72201,716014106,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Local Initiatives Support Corporation,New York,NY,10005,133030229,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Local Redevelopment Authority for Roosevelt Roads,San Juan,PR,00918,660661048,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Lone Star Association of Charitable Clinics Inc,Austin,TX,78705,331115138,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Lookout Mountain Conservancy,Lookout Mountain,TN,37350,621460535,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Environmental Stewardship
Louisiana Delta Service Corps,Baton Rouge,LA,70802,721285695,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Louisiana Department of Veterans Affairs,Baton Rouge,LA,70806,726000840,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Veterans and Military Families
Love Community Development Corp,Winston Salem,NC,27105,582463983,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Loyola University Chicago Law School - HJP,Chicago,IL,60611,361408475,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Luella Hannan Memorial Foundation,Detroit,MI,48201,381358386,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Lutheran Community Services Northwest,Seatac,WA,98188,930386860,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Lutheran Social Service of Minnesota,Saint Paul,MN,55108,410872993,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Lutheran Social Services of Southern California,Orange,CA,92868,952225798,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
MAAC,Chula Vista,CA,91911,111111111,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Urban/Rural Development
MAGGIES PLACE,Phoenix,AZ,85016,860972675,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
MAHUBE-OTWA Community ACT PART,Detroit Lakes,MN,56501,416049474,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Environmental Stewardship; Healthy Futures
MALDEN CHAMBER OF COMMERCE,Malden,MO,63863,430725614,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"MARICOPA, COUNTY OF",Phoenix,AZ,85003,866000472,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
MARQUETTE COUNTY,Marquette,MI,49855,386004869,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures; Veterans and Military Families
MARSHFIELD CLINIC,Marshfield,WI,54449,390452970,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
MARTHA O'BRYAN CENTER,Nashville,TN,37206,620477728,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
"MASSACHUSETTS SERVICE ALLIANCE, INC",Boston,MA,02114,043088234,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"MCCJ, Inc.",Miami,FL,33131,203534284,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
MCLENNAN COUNTY JUNIOR COLLEGE DISTRICT,Waco,TX,76708,741541260,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures; Veterans and Military Families
"MENTAL HEALTH AMERICA OF SOUTH CENTRAL KANSAS, INC",Wichita,KS,67208,480990763,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
MENTAL HEALTH COLLECTIVE,Minneapolis,MN,55408,411946275,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
MIAMI UNIVERSITY,Oxford,OH,45056,316402089,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
MIAMI-DADE COUNTY,Miami,FL,33128,596000573,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Education; Healthy Futures; Veterans and Military Families
"MICHIGAN DEPARTMENT OF ENVIRONMENT, GREAT LAKES, AND ENERGY",Lansing,MI,48933,386000134,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
MICHIGAN DEPARTMENT OF LABOR AND ECONOMIC OPPORTUNITY,Okemos,MI,48864,386000134,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
MISSISSIPPI COMMISSION FOR VOLUNTEER SERVICE,Jackson,MS,39211,646000783,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
MISSISSIPPI URBAN LEAGUE INC,Jackson,MS,39213,274272183,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
MOAB FREE HEALTH CLINIC,Moab,UT,84532,262082745,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship
MONROE COUNTY PENNSLYVANIA,Stroudsburg,PA,18360,246000734,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
MONTANA DEPARTMENT OF LABOR INDUSTRY,Helena,MT,59601,810302402,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"MUJERES DE ISLAS, INC",Culebra,PR,00775,660768054,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Mac, Incorporated",Salisbury,MD,21804,520992005,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Macon County Commission,Tuskegee,AL,36083,636001615,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Macon-Bibb County Economic Opportunity Council, Inc.",Macon,GA,31201,580957208,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Madison County Office for the Aging, Inc.",Canastota,NY,13032,161434765,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Maine State Library,Augusta,ME,04330,016000001,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Maine Youth Alliance,Belfast,ME,04915,900857900,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Mandy's Special Farm,Albuquerque,NM,87105,850436516,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Mar-Lu-Ridge Camp and Retreat Center,Unusable Addr,MD,Unusable Addr,52-0807630,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environment
Marion County Public Schools,Ocala,FL,34471,596000734,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Mariposa County,Mariposa,CA,95338,946000880,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environment
Marnel C Moorman Family Life Center,Shelbyville,KY,40065,611393450,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Marquette University,Milwaukee,WI,53233,390806251,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Marshall County Of,Guntersville,AL,35976,631065036,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
Martin Luther King Sr Community Resources Collaborative Inc.,Atlanta,GA,30312,464284316,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Mashpee Wampanoag Tribe,Mashpee,MA,02649,142001428,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Environmental Stewardship
"Mason County Interagency Council, Incorporated",Maysville,KY,41056,610850200,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures; Veterans and Military Families
Massachusetts Immigrant and Refugee Advocacy Coalition,Boston,MA,02114,223115048,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
"Match School Foundation, Inc., The",Boston,MA,02215,043476160,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Meals on Wheels of RI, Inc.",Providence,RI,02908,050340723,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Mecosta County,Big Rapids,MI,49307,237437416,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Education; Healthy Futures
Medserve,Durham,NC,27705,475201961,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Megiddo Dream Station,Graniteville,SC,29829,455592497,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
"Memphis Teacher Residency, Inc",Memphis,TN,38104,264440905,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Mental Health America of Greenville County,Greenville,SC,29607,570955844,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Mental Health Association of Columbia-Greene Counties, Inc",Hudson,NY,12534,146030796,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Mentes Puertorriquenas En Accion Inc.,San Juan,PR,00917,660728293,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Mercy Corps,Portland,OR,97204,911148123,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Mercy Health Cincinnati LLC,Cincinnati,OH,45237,311063783,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Mesa County RSVP, INC",Grand Junction,CO,81501,841516029,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Methodist Childrens Home Society,Redford,MI,48240,381240951,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Metro Volunteers,Denver,CO,80207,840782124,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship; Healthy Futures
Metropolitan Family Service,Portland,OR,97214,930397825,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
"Metropolitan Ministries, Inc.",Tampa,FL,33602,591477007,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Michiana Area Council of Governments,South Bend,IN,46601,351186167,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Michigan Coalition Against Homelessness,Lansing,MI,48906,382960348,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Michigan College Access Network,Lansing,MI,48933,364619621,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Michigan Primary Care Association,Lansing,MI,48917,382294018,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Michigan State University,East Lansing,MI,48824,386005984,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Mid-Ohio Valley Regional Planning and Development Council,Parkersburg,WV,26101,550534813,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Mid-Rio Grande Retired & Senior Volunteer Program,Belen,NM,87002,856000107,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
Mile High United Way,Denver,CO,80205,840404235,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Urban/Rural Development
"Military Heritage Museum, Inc.",Punta Gorda,FL,33950,651036360,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Milwaukee Christian Center Inc.,Milwaukee,WI,53204,390807066,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Milwaukee Public Library Foundation,Milwaukee,WI,53233,391610233,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Minneapolis, City Of",Minneapolis,MN,55415,416005375,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Minnesota Alliance With Youth,Minneapolis,MN,55413,453774063,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Minnesota Alliance for Volunteer Advancement,Saint Paul,MN,55114,411463366,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"Minnesota Council of Nonprofits, The",Saint Paul,MN,55114,363501477,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
Mission Edge San Diego,San Diego,CA,92106,272938491,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Mission: St. Louis,Saint Louis,MO,63107,208983607,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Mississippi Alliance of Nonprofits and Philanthropy,Jackson,MS,39216,582025957,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Mississippi Delta Nature and Learning Center,Leland,MS,38756,850631468,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
Mississippi Department of Mental Health,Whitfield,MS,39193,640546351,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Mississippi Department of Wildlife, Fisheries & Parks",Jackson,MS,39211,64-0897726,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Infrastructure
Mississippi State University,Mississippi State,MS,39762,646000819,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Missouri Department of Natural Resources - Roaring River State Park,Cassville,MO,65625,446000987,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environment
Missouri Environmental Education Association,Kirkwood,MO,63122,431488916,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Environmental Stewardship; Healthy Futures
Missouri State University,Springfield,MO,65897,446000308,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Missouri Stream Team Watershed Coalition,Shelbyville,MO,63469,431900822,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship
Mobile Baykeeper,Mobile,AL,36602,631190615,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
"Mohawk Valley Community Action Agency, Inc.",Utica,NY,13502,160918009,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Mojave Desert Land Trust,Joshua Tree,CA,92252,721603033,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environment
