"","Name","EIN","Tax Class/Subsection","Shorthand","Type","Sub-Type","Parent Org","Website","Mission/Description","Network Founder","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Methods","Category of Work","Funder Type","FLAG FOR REVIEW","Reason for flag/review","Self-Identified Ideology","Goals","Network Membership","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","lat","long"
"78","Kendall County Citizens Law Enforcement Academy Alumni Associa","37-1792839","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://kccleaaa.org/","The purpose of the KCCLEAAA is to support the law enforcement agencies of Kendall County Texas in such non-enforcement activities as requested and directed by the Kendall County Sheriff's Office, the Boerne Police Department and The Fair Oaks Ranch Police Department. 

The KCCLEAAA and its members will assist Kendall County law enforcement agencies with activities such as civic and community events and other initiatives deemed appropriate by the agencies we serve in Kendall County Texas.",NA,NA,"PO Box 1062","Boerne","TX","78006",NA,"210-628-9498",NA,"Education,Community-Building / Networking,Service and Volunteerism","Civic Associations",NA,NA,"public safety goal - tagged/resolved 05.02",NA,"Community Engagement and Community Building,Safety and Security",NA,NA,NA,NA,29.7946641,-98.7319703
"79","Killeen Creators","86-1477067","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.killeencreators.org/","Killeen Creators' Mission is to combat food insecurity, Post-Traumatic Stress Disorder (PTSD), and disenfranchisement through our Community Garden, ART of Recovery, and Civic Empowerment initiatives.",NA,"Kristin Wright","701 N 10th St","Killeen","TX","76541",NA,"(254) 213-2210",NA,"Education,Food Justice and Access,Service and Volunteerism","Civic Education / Learning",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Civic Education",NA,NA,NA,NA,31.1171441,-97.727796
"80","Kindness To Action","83-3215671","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.kindnesstoaction.org/","Our audacious wish: We wish for this generation to remake the world as it should be through acts of kindness.

Core Values:
• Joy - We delight in the large and small wonders of our universe.
• Inquisitiveness - We crave understanding of how and why our world exists in its current state.
• Equity - We honor the dignity, diversity, and interdependence of all people and our environment.  
• Accountability - We recognize the opportunity and responsibility of each person's impact on another.
• Insight - We envision concepts supported equally by intelligence, compassion, and efficacy.
• Resolve - We move upstream with determination to solve issues at their source.
• Humor - We laugh, we love, and we revel in fun.",NA,NA,"1839 Nauts Ct","Houston","TX","77008","KindnessToAction@gmail.com",NA,"National","Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,29.7589382,-95.3676974
"81","League of Independent Voters of Texas","46-3596273","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.livtx.org/","LIV is a 501c4 nonprofit, nonpartisan membership association dedicated to bringing about competitive elections and a multi-party system. 

We remain open to organizing on any issue with the intention of bringing all points of view to build consensus unrestricted from special interest influence.",NA,"Linda Curtis","150 S SHORE RD","BASTROP","TX","78602","contact@livtx.org","(512) 213-4511","State - single","Public Petition,Advocacy","Electoral Reform",NA,NA,NA,NA,"Electoral Reform,Voter Engagement/Registration/Education,Public Opinion","NANR",NA,NA,NA,30.1104947,-97.3152701
"82","League of Women Voters Austin Area","81-3447172","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvaustin.org/","Mission: Empowering Voters. Defending Democracy.

Vision: We envision a democracy where every person has the desire, the right, the knowledge, and the confidence to participate.

Value: We believe in the power of women to form a more perfect democracy.",NA,"Jessica Foreman","3908 Avenue B  Austin Tx 78701-1022","Austin","TX","78751","lwvaustin@lwvaustin.org","(512) 451-6710","Community/Local - single","Education,Advocacy,Organizing,Dialogue,Service and Volunteerism","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Civic Forums for Discussion of Public Issues,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,30.2711286,-97.7436995
"83","League of Women Voters of Amarillo","75-6043959","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://alwv.clubexpress.com/","Our Mission: Empowering voters. Defending Democracy

Our Vision: We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate. 

Our Value: We believe in the power of women to create a more perfect democracy.",NA,"Jenny Inzerillo,Michelle Hoggatt","PO Box 19333","Amarillo","TX","79114","amarillolwv@gmail.com","(806) 337-2148","Community/Local - single","Advocacy,Organizing,Membership,Communications,Service and Volunteerism","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,35.20729,-101.8371192
"84","League of Women Voters of Dallas","75-1876278","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvdallas.org/","The mission of the League of Women Voters of Dallas is empowering voters and defending democracy.

Whatever our color, background or zip code, in America we value our freedom to vote, and to have a say in decisions that impact our  lives from election laws, redistricting, the environment and access to affordable housing and health care.",NA,"Sandy Thornton","6060 N Central Expy Ste 500","Dallas","TX","75206",NA,"(214) 688-4125",NA,"Education,Advocacy,Communications,Policy Advocacy and Analysis,Service and Volunteerism","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Civic Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,32.7762719,-96.7968559
"85","League of Women Voters of South Central Texas","82-5336795","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwvsouthcentraltx.org/","Mission: Empowering voters. Defending democracy.

Vision: We envision a democracy where every person has the desire, the right, the knowledge, and the confidence to participate.

Value: We believe in the power of women to create a more perfect democracy.",NA,"Janis Richardson","PO Box 78","Hallettsville","TX","77964","lwvsouthcentraltx@gmail.com","(361) 772-3228","Community/Local - single","Advocacy,Service and Volunteerism,Organizing","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,29.4438528,-96.9410929
"86","LEAGUE OF WOMEN VOTERS OF TEXAS","74-6060249","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwvtexas.org/","MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy.",NA,"Joyce LeBombard","1212 Guadalupe Street, #107","Austin","TX","78701",NA,"(512) 472-1100","State - single","Advocacy,Policy Advocacy and Analysis,Communications","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",NA,NA,NA,NA,30.2711286,-97.7436995
"87","League of Women Voters of Denton","75-6056666","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwvdt.clubexpress.com/content.aspx","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,"Janice K Johnson","PO Box 2544","Denton","TX","76202","webservices@lwvdenton.org",NA,"Community/Local - single","Advocacy,Organizing","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Electoral Reform",NA,NA,NA,NA,33.2150386,-97.1330516
"88","League of Women Voters of Cooke County","23-7391808","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://www.facebook.com/groups/392304898015180/announcements","A local chapter of nonpartisan voter advocates dedicated to the improvement of voter registration, participation, and turnout in all elections. Local elections carry just as much importance as state and national elections, which means voter turnout is important on all levels. They say change starts at home, our goal is for every eligible voter's voice to be heard at the voters booth regardless of party affiliation.",NA,NA,"212 E California Street","Gainesville","TX","76240",NA,NA,"State - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,33.6258504,-97.1332963
"89","League of Women Voters of Irving","75-6058579","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvirving.org/","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,"Annette French","1817 W Pioneer Dr Ste 1106","Irving","TX","75061","admin@lwvirving.org","(972) 737-7274","State - single","Advocacy,Organizing,Service and Volunteerism","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,32.8295183,-96.9442177
"90","League of Women Voters of Comal Area","74-2685378","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvcomal.org/","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,"Jerrie Champlin","PO Box 311324","New Braunfels","TX","78131","president@lwvcomal.org","(830) 643-4657","Community/Local - single","Advocacy,Organizing,Education","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation,Electoral Reform",NA,NA,NA,NA,29.7028266,-98.1257348
"91","League of Women Voters of Corpus Christi","74-6059179","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwv-cctx.clubexpress.com/","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,"Alice F Hawkins","PO Box 8276","Corpus Christi","TX","78468","lwvcorpuschristi@gmail.com","(361) 445-4436","State - single","Advocacy,Organizing,Membership","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Electoral Reform",NA,NA,NA,NA,27.7635302,-97.4033191
"92","League of Women Voters of Victoria","74-6063336","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://my.lwv.org/texas/victoria?_ga=2.3348214.797101594.1712932622-574607740.1712932622&_gl=1*16dmmpt*_ga*NTc0NjA3NzQwLjE3MTI5MzI2MjI.*_ga_DDCEP0D6KM*MTcxMjkzNTU1Mi4yLjEuMTcxMjk0MDAzOC42MC4wLjA.","Mission
Empowering voters. Defending democracy. 

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,NA,"PO Box 5067","Victoria","TX","77903",NA,"(361) 648-4319","Community/Local - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",NA,NA,NA,NA,28.7997547,-97.0064246
"93","League of Women Voters of Hays County","74-6076565","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvhaysco.com/","Mission
Empowering Voters. Defending Democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Values
We believe in the power of women to create a more perfect democracy.",NA,"Marilyn Minnaar","PO BOX 414","WIMBERLEY","TX","78676","info@lwvhaysco.com","(512) 710-5793","Community/Local - single","Organizing,Advocacy,Service and Volunteerism,Education,Communications","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion,Electoral Reform,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,29.9976807,-98.0987896
"94","League of Women Voters of Richardson","75-6043960","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvrichardson.org/","The League of Women Voters, a nonpartisan political organization, encourages the informed and active participation of citizens in government and influences public policy through education and advocacy.",NA,"Ellen Steger","300 N Coit Rd Ste 125","Richardson","TX","75080","league@lwvrichardson.org","(972) 470-0584","Community/Local - single","Organizing,Advocacy,Membership,Education,Dialogue","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion,Electoral Reform",NA,NA,NA,NA,32.9481789,-96.7297206
"95","League of Women Voters of Collin County","51-0155936","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvcollin.org/","The League of Women Voters of Collin County is a 501C3 nonpartisan organization.

Our mission is ‘Empowering voters. Defending democracy.’

People of all genders who support the mission are invited to join.",NA,"Janet R Imhoff","PO Box 866592","Plano","TX","75086","lwvcollin@gmail.com",NA,"State - single","Organizing,Advocacy,Education,Membership,Dialogue","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",NA,NA,NA,NA,33.0136764,-96.6925096
"96","League of Women Voters of Lubbock","75-6037135","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"http://www.lwvlubbock.org/","The League of Women Voters is a nonpartisan political organization encouraging the informed and active participation of citizens in government. It influences public policy through education and advocacy. We never support or oppose any political party or candidate.",NA,"Carolie Mullan","1706 23rd St Ste 103","Lubbock","TX","79411",NA,"(806) 744-0023","Community/Local - single","Education,Membership","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,33.5855677,-101.8470215
"97","League of Women Voters of Waco Area","74-6059742","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://www.facebook.com/LWVWaco/","League of Women Voters is a non-partisan political organization that encourages the informed and active participation in government.",NA,NA,"PO Box 7311","Waco","TX","76714","lwv.waco@gmail.com",NA,"Community/Local - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion",NA,NA,NA,NA,31.5491899,-97.1474628
"98","League of Women Voters of Galveston","76-0426019","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://www.facebook.com/LWVGalveston/?ref=embed_page","MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy",NA,NA,"PO Box 3744","Galveston","TX","77552","LWV.GalvestonTexas@gmail.com","(409) 739-2795","Community/Local - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion",NA,NA,NA,NA,29.3056996,-94.7933252
"99","League of Women Voters of Bay Area Texas","74-6082457","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvbayareatx.org/","MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

VALUES
We believe in the power of women to create a more perfect democracy.",NA,"Barbara Murray","1034 Baronridge Drive","Seabrook","TX","77586","lwvbatx@gmail.com","(713) 301-3019","State - single","Membership,Education,Advocacy,Organizing","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Civic Forums for Discussion of Public Issues,Diversity & Inclusion",NA,NA,NA,NA,29.5633199,-95.019723
"100","League of Women Voters of Tyler-Smith County","75-6041481","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwvtyler.clubexpress.com/","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,"Allison Pollan","PO Box 6271","Tyler","TX","75711","lwvtyler@gmail.com","(903) 530-7575","Community/Local - single","Education,Membership,Advocacy","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Electoral Reform,Diversity & Inclusion",NA,NA,NA,NA,32.3512601,-95.3010624
"101","League of Women Voters of Midland","75-1968944","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.facebook.com/lwvmidland/","The League of Women Voters, a nonpartisan political organization, encourages the informed and active participation of citizens in government and influences public policy through education and advocacy.",NA,NA,"PO Box 7437","Midland","TX","79708","lwvmidland@yahoo.com",NA,"Community/Local - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion",NA,NA,NA,NA,31.9973662,-102.077948
"102","League of Women Voters of Wichita Falls","75-6044046","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwv-wf.clubexpress.com/","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy..",NA,"Betty Richie","PO Box 4034","Wichita Falls","TX","76308","lwvofwftx@gmail.com","(940) 704-4796","State - single","Advocacy,Organizing,Community-Building / Networking,Education","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Electoral Reform",NA,NA,NA,NA,33.9004572,-98.5020777
"103","League of Women Voters of El Paso","74-6082458","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvep.org/","Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",NA,NA,"10525 Texwood Ave","El Paso","TX","79925","lwvep@lwvep.org",NA,"Community/Local - single","Advocacy,Membership","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",NA,NA,NA,NA,31.7601164,-106.4870404
"104","League of Women Voters of Tarrant County","75-6035698","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvtarrantcounty.org/","Mission
Empowering Voters. Defending Democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

Value
We believe in the power of women to create a more perfect democracy.",NA,NA,"PO Box 100175","Fort Worth","TX","76185","lwvtarrant@gmail.com","(817) 348-8683","Community/Local - single","Education,Advocacy,Communications","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion",NA,NA,NA,NA,32.753177,-97.3327459
"105","League of Women Voters of Texas Action Fund","74-1106488","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvtexas.org/","MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy.",NA,"Joyce LeBombard","1212 GUADALUPE ST STE 107","AUSTIN","TX","78701",NA,"(512) 472-1100","State - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion",NA,NA,NA,NA,30.2711286,-97.7436995
"106","League of Women Voters of Texas Education Fund","74-6076962","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvtexas.org/#gsc.tab=0","MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy.",NA,"Joyce LeBombard","1212 Guadalupe  Austin Tx 78701-1837","Austin","TX","78701",NA,"(512) 472-1100","State - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion",NA,NA,NA,NA,30.2711286,-97.7436995
"107","League of Women Voters of Brazos Valley","23-7001603","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://www.facebook.com/LWVofBVTX/","Empowering Voters. Defending Democracy. One vote at a time.",NA,NA,"PO Box 9286","College Station","TX","77842","LWVofBVTX@gmail.com",NA,"Community/Local - single","Advocacy,Communications,Dialogue","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",NA,NA,NA,NA,30.6183939,-96.3455991
"108","League of Women Voters of the Houston Area","74-1330123","501(c)(4)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvhouston.org/","The League of Women Voters of Houston fosters a thriving democracy by engaging all people in the political process through nonpartisan information sharing, passionate civic engagement and by providing opportunities to participate in the democratic process.",NA,"Katie Campbell Shumway","PO Box 270269","Houston","TX","77277","lwv@lwvhouston.org","(713) 784-2923","Community/Local - single","Education,Leadership Training,Youth Engagement,Communications,Community-Building / Networking","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",NA,NA,NA,NA,29.7589382,-95.3676974
"109","League of Women Voters-Hill Country Texas","74-2199653","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://lwvhillcountrytexas.org/","The League of Women Voters, a nonpartisan political organization, encourages the informed and active participation of citizens in government and influences public policy through education and advocacy.",NA,"Janice R Zitelman","PO Box 290303","Kerrville","TX","78029","president@lwvhillcountrytexas.org","(830) 285-1535","Community/Local - multiple","Education,Communications,Membership","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",NA,NA,NA,NA,30.048469,-99.1399464
"110","League of Women Votes of Houston Education Fund","74-1860431","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.lwvhouston.org/","The League of Women Voters of Houston fosters a thriving democracy by engaging all people in the political process through nonpartisan information sharing, passionate civic engagement and by providing opportunities to participate in the democratic process.",NA,"Katie Campbell Shumway","PO Box 270269","Houston","TX","77277","lwv@lwvhouston.org","(713) 784-2923","Community/Local - single","Youth Engagement,Communications,Community-Building / Networking,Leadership Training,Education","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",NA,NA,NA,NA,29.7589382,-95.3676974
"111","Love Justice","85-3861711","501(c)(3)",NA,"Practitioner Organization,Funder",NA,NA,"https://www.lovejustice.com/","Our Mission is to be a catalyst for the social justice movement, nationally and globally. We maintain a commitment to providing a home, resources, and most importantly, a supportive community for those who are passionate about making their world a better place through Social Justice engagement.",NA,NA,"4126 Peace Dr","Frisco","TX","75034","heartheadhands@lovejustice.com",NA,"National,Online only","Podcasts/Radio,Print and Digital Publication,Funding","Organizing & Advocacy","Impact Investing",NA,NA,NA,"Social Justice,Civil and Political Rights",NA,NA,NA,NA,33.1505998,-96.8238183
"112","Loving Garland Green","46-4735074","501(c)(3)",NA,"Practitioner Organization",NA,NA,"http://www.lovinggarlandgreen.org/","Loving Garland Green is a group of local Garland residents who believe that local people growing edible plants will also grow a robust and secure local economy.  Our mission is to increase the number of local people growing some of the food they eat. We support this goal through our continuing efforts to learn and share knowledge together.  The enthusiasm of the youth in our community is the fuel driving this transformation to more sustainable and healthy choices.",NA,"Jane Stroud","216 E Kingsbridge Dr","Garland","TX","75040",NA,"(972) 571-4497","Community/Local - single","Service and Volunteerism,Food Justice and Access","Civic Associations",NA,NA,NA,NA,"Community Engagement and Community Building,Public Health,Free Markets and Economic Growth",NA,NA,NA,NA,32.912624,-96.6388833
"113","Lubbock League of Women Voters Education Fund","75-2033550","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"http://www.lwvlubbock.org/","The League of Women Voters is a nonpartisan political organization encouraging the informed and active participation of citizens in government. It influences public policy through education and advocacy. We never support or oppose any political party or candidate.",NA,"Carolie Mullan","1706 23rd St Ste 103","Lubbock","TX","79411",NA,"(806) 744-0023","Community/Local - single","Education,Membership","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,33.5855677,-101.8470215
"114","March To the Polls","86-3898144","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.marchtothepolls.org/","MTTP’s  mission is to substantially increase electoral participation by underrepresented communities, primarily youth and people of color, and cultivate a lifelong commitment to voting and civic engagement, to ensure that everyone’s voice is equally heard and represented in our democracy.",NA,"Camila Correa Bourdeau","5706 E Mockingbird Ln # 1","Dallas","TX","75206","info@marchtothepolls.org",NA,"Community/Local - multiple","Youth Engagement,Education,Service and Volunteerism","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,32.7762719,-96.7968559
"115","Mentors Care","30-0689961","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.mentors.care/","Mentors Care’s mission is to connect high school students who are at risk of not graduating with mentors, tools, and resources to help lead them toward graduation and purposeful, fulfilling lives. Mentors Care will work with school districts that are historically underserved to enlist, train, and equip adult volunteer mentors who care about and believe in the kids they serve.",NA,"Dena  Petty","661 E Main St Ste 200","Midlothian","TX","76065","info@mentors.care","(501) 628-4252","Community/Local - multiple","Youth Engagement,Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,32.482361,-96.9944489
"116","Minaret Foundation","83-3372048","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://minaretfoundation.com/","Minaret Foundation’s mission is to bring faith communities together to change the world around us through multi-faith and civic engagement.

Our vision is to see a world where our faith communities seek each other’s help to better the world as the norm, instead of the exception.",NA,"Shariq Abdul Ghani","19902 Sonterra Ln","Richmond","TX","77407","info@minaretfoundation.com","(281) 401-9229",NA,"Advocacy,Policy Advocacy and Analysis,Organizing,Food Justice and Access,Mental Health,Youth Engagement,Education","Faith-Based Efforts",NA,NA,NA,NA,"Interfaith Organizing/Engagement,Policy Development",NA,NA,NA,NA,29.5821811,-95.7607832
"117","MOVE Texas",NA,"501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://movetexas.org/","(c4) MOVE Texas Action Fund is the political arm of MOVE Texas, Mobilize. Organize. Vote. Empower., an organization dedicated to building the political power of young people in underrepresented communities through civic engagement, leadership development, and issue advocacy.

Our vision is to build the political power of young people to transform democracy in Texas and beyond.",NA,"Claudia Yoli Ferla","14439 NW Military Hwy, Suite 108-415","San Antonio","TX","78231","info@movetexas.org",NA,"Community/Local - multiple","Education,Leadership Training,Youth Engagement","Organizing & Advocacy",NA,NA,NA,NA,"Community Organizing,Leadership Development for Healthy Democracy,Voter Engagement/Registration/Education","SLSV,MVP",NA,NA,NA,29.4246002,-98.4951405
"118","Muslim Children Education and Civic Center","20-2593163","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.mcecc.com/","The mission of the MCECC is to organize and reinvigorate the Muslim Community of San Antonio by imparting a strong Islamic education to all, with a particular emphasis on the youth. We strive to bring civic awareness, the desire for service, and leadership to our San Antonio community so that our youth may service as proud Muslim Americans leaders. Our desire is to continuously network and engage with non-Muslim community for the purpose of forging a better understanding of each other beliefs and faith so that we may all serve humanity and please One God.",NA,"Sh. Noorulhuda Khalid","5281 Casa Bella","San Antonio","TX","78249","contact@mcecc.com","(210) 760-3227","Community/Local - single","Education,Youth Engagement","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy",NA,NA,NA,NA,29.4246002,-98.4951405
"119","National Coalition of 100 Black Women San Antonio Chapter","81-0718292","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.ncbw-sa.org/","The mission of the National Black Coalition of 100 Black Women, Inc. is to advocate on behalf of black women and girls to promote leadership development and gender equity in the areas of health, education and economic empowerment.",NA,"R. Joy McGhee","PO Box 460654","San Antonio","TX","78246","info@ncbw-sa.org​","(210) 646-4074","Community/Local - single","Education,Leadership Training,Advocacy","Organizing & Advocacy",NA,NA,NA,NA,"Racial Equity,Social Justice,Economic Advocacy/Justice/Reform",NA,NA,NA,NA,29.4246002,-98.4951405
"120","National Council of Jewish Women Incorporated Greater Dallas (NCJW Greater Dallas)","75-0800635","501(c)(3)","NCJW Greater Dallas","Practitioner Organization",NA,NA,"https://www.ncjwdallas.org/","The National Council of Jewish Women (NCJW) is a grassroots organization of volunteers and advocates who turn progressive ideals into action. Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms.",NA,"Debbie Greene,Shannon Morse","16910 Dallas Pkwy Ste 104","Dallas","TX","75248","info@ncjwdallas.org","(214) 368-4405","Community/Local - single","Advocacy,Education,Service and Volunteerism","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy,Civil and Political Rights,Service & Volunteerism","Declaration for American Democracy",NA,NA,NA,32.7762719,-96.7968559
