Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Woodmen of the World Life Insurance Society,23-7630248,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 524,Hale Center,TX,79041,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,34.0644671,-101.844368,
League of Women Voters of South Central Texas,82-5336795,501(c)(3),,Practitioner Organization,Chapter,,https://lwvsouthcentraltx.org/,"Mission: Empowering voters. Defending democracy.

Vision: We envision a democracy where every person has the desire, the right, the knowledge, and the confidence to participate.

Value: We believe in the power of women to create a more perfect democracy.",,Janis Richardson,PO Box 78,Hallettsville,TX,77964,lwvsouthcentraltx@gmail.com,(361) 772-3228,Community/Local - single,"Advocacy,Service and Volunteerism,Organizing",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",,,,,29.4438528,-96.9410929,
Girl Scouts of Greater South Texas,741256499,,,,,,,,,,,Harlingen,TX,78550,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,26.1907543,-97.6960599,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630270,501(c)(8),,Practitioner Organization,Chapter,,,,,,HC 63 Box 124,Harper,TX,78631,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.3007264,-99.2508413,
"CASA del Llano, INC ",32-0086570,501(c)(3),,Practitioner Organization,,,https://www.facebook.com/casadellano/,"Established October-2000

Mission Statement:

“Dando La Mano al Hermano” CASA is striving to help people help themselves by way of education with tradition,culture and communication.",,Lydia Villanueva,309 E 6th St,Hereford,TX,79045,,,,,,,,,,,,,,,34.8245521,-102.398778,
Houston Endowment,74-6013920,501(c)(3),,Funder,Local/Community Organization,,https://www.houstonendowment.org/,"Our mission is to enhance the vibrancy of Greater Houston and advance equity of opportunity for the people who live here. Access to an excellent education drives opportunities for our residents. Robust civic participation helps shape our region’s future. Strong arts, cultural organizations, and greenspaces enhance the vibrancy of our region.
",,Meghna Goswami,3683 WILLIA ST,HOUSTON,TX,77007,,,,Funding,"Civic Associations,Civic Education / Learning",Private Foundation,,,,"Immigrant Integration,Voter Engagement/Registration/Education,Community Engagement and Community Building,Civic Infrastructure Development",,,,,29.7589382,-95.3676974,
Toolbank USA,46-1152387,501(c)(3),,Practitioner Organization,,,https://www.houstontoolbank.org/,"The Houston Community ToolBank is a nonprofit tool lending program that provides fellow not-for-profit organizations (and disaster volunteers) with year-round access to an inventory of tools for use in volunteer projects and facility and environmental maintenance. We provide tools to enhance the charitable sector's capacity to serve, scale, and facilitate hands-on volunteerism in the greater Houston area. Access to ToolBank tools eliminates the need for agencies to incur the expense of purchasing, insuring, repairing, and storing tools, reducing the costs associated with service projects and allowing these agencies to focus more of their resources on their mission.",,Marly Maskill,1215 GAZIN ST 1215,HOUSTON,TX,77020,,(713) 674-0262,Community/Local - single,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
ACLU Texas,,501(c)(4),,Practitioner Organization,,American Civil Liberties Union (ACLU),https://www.aclutx.org/,"The ACLU of Texas works with communities, at the State Capitol, and in the courts to protect and advance civil rights and civil liberties for every Texan, no exceptions.",,,P.O. Box 8306,Houston,TX,77288-8306,acluinfo@aclutx.org,(713) 942-8146,,"Litigation / Legal Defense,Advocacy,Issue Campaigns",Organizing & Advocacy,,,,,"Civil and Political Rights,Voting Rights and Voter Participation",Fair Maps Texas,,,,,,
After Military Service,822280328,,,,,,,,,,,Houston,TX,77003,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Alliance for Multicultural Community Services (AMCS),760171217,,,,,,,,,,,Houston,TX,77081,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Americans United for Separation of Church and State - Greater Houston (AU Houston),76-0614993,501(c)(3),AU Houston,Practitioner Organization,Chapter,,https://auhouston.org/,"The chapter presents educational programs, speaks out against governmental actions or policies that infringe on church-state separation, and encourages our supporters to make their voices heard. We work with the national office and other AU chapters in Texas and elsewhere.",,Nancy Friedman,PO Box 550743,Houston,TX,77255,americansunited.houstonchapter@gmail.com,,Community/Local - single,"Education,Advocacy,Issue Campaigns",Organizing & Advocacy,,,,,"Civil and Political Rights,Interfaith Organizing/Engagement,Civic Education",,,,,29.7589382,-95.3676974,
Amigos de las Americas,741547146,,,,,,,,,,,Houston,TX,77098,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Citizens Environmental Coalition,74-1692204,501(c)(3),,Coalition,,,https://cechouston.org/,"To foster dialogue, education, and collaboration on environmental issues in the Houston / Gulf Coast region.",,Charlotte Cisneros,PO Box 702,Houston,TX,77001,info@cechouston.org,,Community/Local - single,"Membership,Dialogue,Education,Organizing",Organizing & Advocacy,,,,,Environmental Protection through Stakeholder and Citizen Engagement,,,,,29.7589382,-95.3676974,
Citizens for Self-Governance,27-1657203,501(c)(3),,Practitioner Organization,,,https://selfgovern.com/,"Citizens for Self-Governance is dedicated to the mission of recruiting, educating, training, equipping and motivating a nationwide network of self-governing citizen activists, committed to bringing government back to the people.",,Mark Meckler,"5850 San Felipe Street, Suite 575a",Houston,TX,77057,info@selfgovern.org,(512) 943-2014,National,"Education,Communications,Issue Campaigns",Deliberative/Participatory/Direct Democracy,,,,,"Civic Knowledge,Individual Rights,Participatory Democracy,Direct Democracy",,,,,29.7589382,-95.3676974,
"Coalition For Environment, Equity, And Resilience",,,,Coalition,,,https://ceerhouston.org/home,"To raise awareness of the connections between pollution, place and the public's health.",,Stefania Tomaskovic,"2010 North Loop West, Suite 103",Houston,TX,77018,Hello@ceerhouston.org,(713) 331-9913,Community/Local - multiple,,Organizing & Advocacy,,,,,Environmental Protection through Stakeholder and Citizen Engagement,,,,,29.7589382,-95.3676974,
Council On American-Islamic Relations - Texas/Houston (CAIR-Texas/Houston),37-1453067,501(c)(3),CAIR-Texas/Houston,Practitioner Organization,Chapter,,https://cairhouston.com/,"CAIR’s mission is to enhance understanding of Islam, protect civil rights, promote justice, and empower American Muslims.

La misión de CAIR es proteger las libertades civiles, mejorar la comprensión del Islam, promover la justicia, y empoderar a los musulmanes en los Estados Unidos. ",,William White,7211 Regency Square Blvd,Houston,TX,77036,info@houston.cair.com,(713) 838-2247,State - single,"Youth Engagement,Print and Digital Publication,Communications",Organizing & Advocacy,,,chapter organization; we do not have entry for parent organization; we do not have entries for other TX chapters or other national chapters; discussed and resolved 03/28/2024;,,"Faith-Based Organizing/Engagement/Advocacy,Social Justice,Civil and Political Rights",MVP,,,,29.7589382,-95.3676974,
Daar Charitable Foundation,85-0487069,501(c)(3),,Funder,,,https://standwithukrainefund.org/,"For over 20 years, our mission has been to support the people of Ukraine. Our work began with a focus on vulnerable children - we developed outdoor activity camps and provided therapy through puppet theater for orphans and children with special needs. We later expanded our work to include support of local artists and preservation of Ukrainian cultures and history. Following Russia’s 2014 invasion, DAAR served provided humanitarian aid, including medical supplies, food, clothing, toys and personal protective gear directly to Ukrainians in the conflict zones. In light of the now full-scale, unprovoked war on the people of Ukraine, we have amplified our humanitarian aid efforts and are providing a broad range of physical, psychological and monetary support to all of Ukraine.",,Natasha Bleyzer,123 N Post Oak Ln Ste 410,Houston,TX,77024,help@daarcharitablefoundation.org,,International,"Service and Volunteerism,Funding",Service & Volunteerism,Private Foundation,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
East Harris County Empowerment Council,270377576,,,,,,,,,,,Houston,TX,77029,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Equal Rights for Persons With Disabilities International Inc (ERPWDI),51-0533520,501(c)(3),ERPWDI,Practitioner Organization,,,https://sustainabledevelopment.un.org/index.php?page=view&type=20036&menu=1561&nr=55262,"The major purpose of forming the Equal Rights for Persons with Disabilities International, Inc.(ERPDI), shall be for people with disabilities, in collaboration with their friends, family members, healthcare providers, social workers, teachers, advocates and other allies, to directly and indirectly engage in promoting and protecting the rights and human dignity for people with disabilities, women, children, youths, the elderly, victims of human trafficking and violence against women/men",,,2410 S Kirkwood Rd Apt 260,Houston,TX,77077,erpdi@yahoo.com,(832) 758-0612,International,"Deliberation,Advocacy,Research",Organizing & Advocacy,,,,,"Civil and Political Rights,Diversity & Inclusion",,,,,29.7589382,-95.3676974,
Evelyn Rubenstein Jewish Community Center of Houston,741198298,,,,,,,,,,,Houston,TX,77096,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Foundation of International Freedom,20-8049664,501(c)(3),,Practitioner Organization,,,https://intlfreedom.org/,"The mission of the Foundation for International Freedom (FIF) is to preserve and expand the core values of Western civilization. These values were set forth in the first ten amendments to the United States Constitution, the Bill of Rights, enacted by the Founding Fathers to protect the inherent rights of individuals against encroachment by their government.

The Revolutionary War was fought to gain these rights, but the fight for freedom is not over. Authoritarian governments around the world seek to retain and expand their powers while claiming that their kleptocratic rule benefits their people.

The United States has fought in two major wars to protect freedoms from tyranny and now, following the seventy-year period called Pax Americana, the Ukrainian people are fighting against a barbaric invasion by Russia to maintain their right to self-government. They deserve the support of all freedom-loving people.",,Byron K. Varme,5861 Sugar Hill Dr,Houston,TX,77057,intlfreedom2@gmail.com,,International,"Research,Membership,Communications",Civic Research,,,,,"Patriotic Values,Defending Democracy from Authoritarianism",,,,,29.7589382,-95.3676974,
Free Enterprise Institute,74-1887755,501(c)(3),,Practitioner Organization,,,https://thefreeenterpriseinstitute.org/,"Founded in 1976, the Free Enterprise Institute’s mission is to preserve a free and virtuous American Republic. President George Washington said: “The preservation of the sacred fire of liberty, and the destiny of the republican model of government, are justly considered deeply, perhaps as finally, staked on the experiment entrusted to the hands of the American people.”",,W. Winston Elliott III,9600 Long Point Rd Ste 300,Houston,TX,77055,,(713) 984-1343,,"Education,Dialogue,Communications",Civic Education / Learning,,,,,"Leadership Development for Healthy Democracy,Civic Knowledge",,,,,29.7589382,-95.3676974,
Fuller Theological Seminary,95-1699394,501(c)(3),,"Academic Institution,Parent Only",,,https://www.fuller.edu/,"Fuller Theological Seminary, embracing the School of Mission and Theology and School of Psychology and Marriage and Family Therapy, is an evangelical, multidenominational, international, and multiethnic community dedicated to the equipping of men and women for the manifold ministries of Christ and his church. Under the authority of Scripture we seek to fulfill our commitment to ministry through graduate education, professional development, and spiritual formation. In all of our activities, including instruction, nurture, worship, service, research, and publication, Fuller Theological Seminary strives for excellence in the service of Jesus Christ, under the guidance and power of the Holy Spirit, to the glory of the Father.",,Dr. Mark Labberton,"10200 Richmond Ave., Ste. 170",Houston,TX,77042,fullertx@fuller.edu,(713) 360-3400,"""State - multiple, not region-specific""",Education,Faith-Based Efforts,,,,,Faith-Based Organizing/Engagement/Advocacy,,,,,29.7589382,-95.3676974,
Houston Democratic Socialists of America,82-2636317,501(c)(4),,Practitioner Organization,Chapter,Democratic Socialists of America,https://houstondsa.org/,"We’re the Houston chapter of the Democratic Socialists of America, the largest socialist organization in the country. We fight for more democracy — in our workplaces, communities, and politics. We believe that capitalism is a problem, and have a vision based on solidarity, radical democracy, and liberation. Our members are building and supporting working class movements for social change while establishing an openly socialist presence locally in Houston through activism, political education, and community organization, and politics.",,,PO Box 8659,Houston,TX,77249,info@houstondsa.org,(713) 309-6639,Community/Local - single,"Policy Advocacy and Analysis,Organizing,Advocacy,Communications",Organizing & Advocacy,,,,,"Community Organizing,Social Justice",,,,,29.7589382,-95.3676974,
Houston in Action Network,87-3022489,501(c)(3),,Practitioner Organization,,,https://www.houstoninaction.org/,"We facilitate the collective action of local organizations and actors to promote community leadership and break down systemic barriers to civic participation so that every resident, regardless of social identity, has equal opportunity to engage in and have a meaningful impact on civic life. ",,Frances Valdez,942 Hillstar Street,Houston,TX,77009,,,Community/Local - single,"Advocacy,Organizing,Narrative Storytelling,Leadership Training,Policy Advocacy and Analysis",Organizing & Advocacy,,,,,"Community Organizing,Racial Equity,Voter Engagement/Registration/Education,Election Protection",,,,,29.7589382,-95.3676974,
Institute for Civility in Government,76-0556192,501(c)(3),,"Funder,Practitioner Organization",,,https://www.instituteforcivility.org/,"The Institute for Civility is dedicated to reducing polarization by facilitating dialogue, teaching respect, and building civility in both public and private spheres.

We focus on two key threats to civic life in the United States: (1) persistent and growing polarization along lines of race, class, religion, age, and ideology; and, (2) lack of participation in government at all levels—local, state, and national. Apathy and antipathy put our nation at risk. Therefore, we strive to educate Americans about their role in civil society and equip them to participate effectively in it.",,"Tomas Spath,Cassandra Dahnke",P.O. Box 41804,Houston,TX,77241-1804,info@instituteforcivility.org,,National,"Education,Dialogue,Youth Engagement,Model Government/Mock Trial",Civic Education / Learning,,,,,"Civic Forums for Discussion of Public Issues,Civic Education","FixUS,Listen First Coalition",,,,29.7589382,-95.3676974,
Interfaith Ministries for Greater Houston,741488102,,,,,,,,,,,Houston,TX,77002,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Kindness To Action,83-3215671,501(c)(3),,Practitioner Organization,,,https://www.kindnesstoaction.org/,"Our audacious wish: We wish for this generation to remake the world as it should be through acts of kindness.

Core Values:
• Joy - We delight in the large and small wonders of our universe.
• Inquisitiveness - We crave understanding of how and why our world exists in its current state.
• Equity - We honor the dignity, diversity, and interdependence of all people and our environment.  
• Accountability - We recognize the opportunity and responsibility of each person's impact on another.
• Insight - We envision concepts supported equally by intelligence, compassion, and efficacy.
• Resolve - We move upstream with determination to solve issues at their source.
• Humor - We laugh, we love, and we revel in fun.",,,1839 Nauts Ct,Houston,TX,77008,KindnessToAction@gmail.com,,National,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
League of Women Voters of the Houston Area,74-1330123,501(c)(4),,Practitioner Organization,Chapter,,https://www.lwvhouston.org/,"The League of Women Voters of Houston fosters a thriving democracy by engaging all people in the political process through nonpartisan information sharing, passionate civic engagement and by providing opportunities to participate in the democratic process.",,Katie Campbell Shumway,PO Box 270269,Houston,TX,77277,lwv@lwvhouston.org,(713) 784-2923,Community/Local - single,"Education,Leadership Training,Youth Engagement,Communications,Community-Building / Networking",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",,,,,29.7589382,-95.3676974,
League of Women Votes of Houston Education Fund,74-1860431,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvhouston.org/,"The League of Women Voters of Houston fosters a thriving democracy by engaging all people in the political process through nonpartisan information sharing, passionate civic engagement and by providing opportunities to participate in the democratic process.",,Katie Campbell Shumway,PO Box 270269,Houston,TX,77277,lwv@lwvhouston.org,(713) 784-2923,Community/Local - single,"Youth Engagement,Communications,Community-Building / Networking,Leadership Training,Education",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",,,,,29.7589382,-95.3676974,
Legacy Community Health Services,760009637,,,,,,,,,,,Houston,TX,77006,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Mi Familia Vota Texas,,501(c)(4),,Practitioner Organization,,Mi Familia Vota,https://www.mifamiliaenaccion.org/texas/,Mi Familia En Acción is a national nonprofit organization that works to build Latino political power through civic participation. The change starts with you. Join our causes.,,Dayana  Iza,"7500 Bellaire Blvd, Houston, TX 77036",Houston,TX,77036,txinfo@Mifamiliavota.Org,(602) 263-2036,State - single,"Advocacy,Issue Campaigns,Education,Youth Engagement,Leadership Training","Organizing & Advocacy,Voter Engagement",,,,,"Youth Engagement and Leadership,Immigrant Integration,Community Organizing,Voter Engagement/Registration/Education",MVP,,,,29.7589382,-95.3676974,
Montrose Grace Place,272773965,,,,,,,,,,,Houston,TX,77006,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Planned Parenthood Gulf Coast,74-1100163,501(c)(3),,Practitioner Organization,Chapter,,https://www.plannedparenthood.org/planned-parenthood-gulf-coast,"OUR MISSION:  The mission of Planned Parenthood Gulf Coast, Inc. is to ensure the right and ability of all individuals to manage their sexual and reproductive health by providing health services, education, and advocacy.    

OUR VISION:  Planned Parenthood seeks a world in which all children are wanted and cared for, all individuals have equal rights and dignity, sexuality is expressed with honesty, equality, and responsibility, and the decision to bear children is private and voluntary.   

OUR COMMITMENT: Care.  No Matter What.",,,4600 Gulf Fwy,Houston,TX,77023,information@ppgulfcoast.org,(713) 522-6363,"""State - multiple, not region-specific"",""Regional (e.g. Midwest, South)""","Education,Advocacy",Organizing & Advocacy,,,,,"Public Health,Civil and Political Rights",,,,,29.7589382,-95.3676974,
Ranked Choice Voting for Texas,84-3768772,501(c)(4),,Practitioner Organization,,,https://www.rcvfortexas.org/,"Promote the adoption of Ranked Choice Voting (RCV) for local, state, and federal primaries and elections in Texas.",,Harriet Wasserstrum,P.O. Box 271101,Houston,TX,77277-1101,,(832) 524-6714,State - single,"Lobbying,Advocacy,Education",Electoral Reform,,,,,Electoral Reform,Citizen Connect,,,,29.7589382,-95.3676974,
Reform Austin,82-4329726,501(c)(4),,Practitioner Organization,Journalism/Media,,https://www.reformaustin.org/,RA News is dedicated to increasing transparency regarding the use of public money and the policies that shape everyday life in Texas. We provide independent reporting for a better Texas,,Nick Anderson,2727 Allen Pkwy Ste 1300,Houston,TX,77019,hello@reformaustin.org,,"State - single,Online only","Journalism,Print and Digital Publication",Civic Media,,,,,"Civic Journalism,Transparency and Addressing Mis/Disinformation",,,,,29.7589382,-95.3676974,
Sewa International,200638718,,,,,,,,,,,Houston,TX,77082,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Spectrum Fusion,82-2367027,501(c)(3),,Practitioner Organization,,,https://spectrumfusion.org/,"We are making the world a better place for adults on the autism spectrum by unlocking their hidden potential. 

We accomplish our mission by fostering a sense of belonging, building community, helping individuals realize their full potential by creating new opportunities through collaboration and connections.",,,3714 Purdue St,Houston,TX,77005,heidi@spectrumfusion.org,(832) 208-5786,State - single,"Professional Training,Community-Building / Networking",Civic Associations,,,,,"Social Justice,Social Isolation,Community Engagement and Community Building",,,,,29.7589382,-95.3676974,
Swaniti Initiative,45-3964226,501(c)(3),,Practitioner Organization,,,https://www.swaniti.com/,"TO SUPPORT THE DEVELOPMENT OF YOUTH IN INDIA BY AIDING IN THE STRENGTHENING OF THE EDUCATION, HEALTH AND GOVERNANCE SYSTEMS. TO CREATE A GENERATION OF CIVICALLY ORIENTED INDIVIDUALS THROUGH EDUCATION, EMPLOYMENT AND EMPOWERMENT.",,,1109 Marconi St,Houston,TX,77019,swaniti@swaniti.in,+91 9821959901,International,"Advocacy,Funding,Cross-sector collaboration,Education,Research,Policy Advocacy and Analysis",Organizing & Advocacy,,,,,Environmental Protection through Stakeholder and Citizen Engagement,,,,,29.7589382,-95.3676974,
True the Vote,27-2860095,501(c)(3),,Practitioner Organization,,,https://truethevote.org/,"To foster a resilient republic through election integrity across the nation; 

To safeguard the electoral process through renewed citizen engagement – promoting transparency, advocating for access, and ensuring every citizen's right to a free and fair vote. 

To rebuild the trust that has been lost in our electoral system, which is fundamental to empowering all citizens and securing the foundation of our republic.",,,PO Box 3109,Houston,TX,77253,,,National,Education,Electoral Reform,,,,,"Election Protection,Voting Rights and Voter Participation",,,,,29.7589382,-95.3676974,
Values Through History,76-0623765,501(c)(3),,Practitioner Organization,,,https://valuesthroughhistory.org/,"Values Through History’s mission is to immerse upper elementary students in an exciting, multi-disciplinary learning experience set in the Revolutionary War and Founding periods that will instill knowledge of the nation’s founding and the essential civic principles and behaviors upon which its government and society depend as it unifies them as Americans, so they are equipped and inspired to go on together to become responsible citizens.",,,4899 Montrose Blvd Apt 1814,Houston,TX,77006,,(713) 533-1776,National,"Curriculum Development,Education",Civic Education / Learning,,,,,"Civic Knowledge,Youth Engagement and Leadership",,,,,29.7589382,-95.3676974,
Volunteer Houston,23-7382611,501(c)(3),,Practitioner Organization,,,https://volunteerhouston.org/,"Connect individuals, groups, and companies with nonprofit agencies to transform the greater Houston community for good through volunteerism.",,Andrea  Shiloh,PO Box 66157,Houston,TX,77266,info@volunteerhouston.org,(713) 533-3190,Community/Local - multiple,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Woodmen of the World Life Insurance Society,74-1886171,501(c)(8),,Practitioner Organization,Chapter,,,,,,5411 Golden Stream Dr,Houston,TX,77066,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Woodmen of the World Life Insurance Society,23-7630333,501(c)(8),,Practitioner Organization,Chapter,,,,,,11022 Tobasa Ct,Houston,TX,77086,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.7589382,-95.3676974,
Harris County Citizens for Public Safety,88-2291310,501(c)(3),,Practitioner Organization,,,https://www.harriscountysafety.com/,"Harris County Citizens for Public Safety is a 501c(3) nonprofit, dedicated to raising awareness on issues affecting the general safety and well-being of the Harris County community. We are proud to work with various community members and city partners to promote public safety, neighborhood safety, and educate Harris County residents on best practices. We believe all three of these issues go hand-in-hand towards fostering a well-rounded, vibrant community. The vision for Harris County Citizens for Public Safety is to work for the public, keeping the community aware of issues that affect our safety, health, and prosperity. We believe Harris County is the best county to plant a business, raise a family, and participate in the American dream. ",,Glenn Cowan,527 Remington Trl,Huffman,TX,77336,info@harriscountysafety.com,,Community/Local - single,"Education,Community-Building / Networking",Civic Associations,,,public safety/security; - resolved 05.02,,Safety and Security,,,,,30.0271626,-95.0857627,
CHRISTUS Health,760590551,,,,,,,,,,,Irving,TX,75038,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.8295183,-96.9442177,
League of Women Voters of Irving,75-6058579,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvirving.org/,"Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",,Annette French,1817 W Pioneer Dr Ste 1106,Irving,TX,75061,admin@lwvirving.org,(972) 737-7274,State - single,"Advocacy,Organizing,Service and Volunteerism",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",,,,,32.8295183,-96.9442177,
True Texas Project,27-2998683,501(c)(4),,Practitioner Organization,,,https://truetexasproject.com/,"In the spirit of the original Texians who valiantly defended their families, their lands, and their liberties, True Texas Project exists to educate and motivate citizen engagement in all levels of government.",,Julie McCarty,"2300 Valley View Ln, Suite242",Irving,TX,75062,truetexasproject@gmail.com,,State - single,"Education,Leadership Training,Online Video","Civic Education / Learning,Voter Engagement",,,,,"Civic Knowledge,Voter Engagement/Registration/Education",,,,,32.8295183,-96.9442177,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630484,501(c)(8),,Practitioner Organization,Chapter,,,,,,410 Asbury St,Jacksonville,TX,75766,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.963778,-95.2705042,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630478,501(c)(8),,Practitioner Organization,Chapter,,,,,,410 Asbury St,Jacksonville,TX,75766,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.963778,-95.2705042,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630214,501(c)(8),,Practitioner Organization,Chapter,,,,,,1250 E FM 487,Jarrell,TX,76537,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.80387435,-97.6125670969511,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630223,501(c)(8),,Practitioner Organization,Chapter,,,,,,111 NW Main St Apt 6,Junction,TX,76849,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.4893555,-99.7720109,
Gulf Coast Organization,45-2436430,501(c)(3),,"Funder,Practitioner Organization",,,https://www.facebook.com/connect2gco/,"The Gulf Coast Organization strives to effectuate positive social change across communities by creating prototype educational and career development initiatives that reach today’s youth and produce tomorrow’s leaders.  The Gulf Coast Organization provides invaluable education and career planning resources to communities across the Gulf Coast region.

Gulf Coast Organization (GCO) is a 501(c)(3) non-profit organization organized in the State of Texas. GCO is committed to help mold students to be responsible leaders and competitive candidates in the global market through our flagship program, Jump Start to a Great Start Initiative.

​Our Founder, Board Members, Ambassadors, and Volunteers are community-focused, service-driven, and supporters of equity and equality in education.",,,PO Box 6775,Katy,TX,77491,GULFCOASTORG@GMAIL.COM,(281) 846-4116,,"Youth Engagement,Model Government/Mock Trial,Education,Funding",Civic Education / Learning,,,,,Youth Engagement and Leadership,,,,,29.7857853,-95.8243956,
Texans Against Gerrymandering (TAG),,501(c)(3),TAG,Practitioner Organization,,,https://www.tagtx.org/,"We renamed ourselves Texans Against Gerrymandering in 2018. When we realized we needed state-wide support to achieve our objectives, we joined the Fair Maps Texas Coalition.  In 2019, we incorporated as a nonpartisan, non-profit, and tax-exempt organization. In the 2019 and 2021 legislative sessions, TAG actively advocated for fair community districting by:

Writing postcards to members of both redistricting committees,
Gathered petition signatures supporting an independent citizens’ redistricting commission,
Provided training in giving testimony to both houses of the Texas legislature,
Provided training in drawing district maps,
Provided training in speaking about community districting,
Developed videos for giving testimony,
Developed an active social media campaign, 
Collaborated with various organizations to promote a fair & open process for community districting, 
Provided over 100 presentations about community districting in Texas, and
Joined Fair Maps Texas Action Committee (FMTAC) Lawsuit against the state of Texas 2021 district maps.",,,811 Windsor Woods Lane,Katy,TX,77494,info.tagtx@gmail.com,(281) 624-8993,,,Electoral Reform,,,,,Electoral Reform,Fair Maps Texas,,,,,,
Woodmen of the World Life Insurance Society,74-2376248,501(c)(8),,Practitioner Organization,Chapter,,,,,,2737 HORSEHOSE BEND RD,KEMPNER,TX,76539,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.081007,-98.0025249,
Christian Mens Job Corps of Kerr C,56-2501923,501(c)(3),,Practitioner Organization,,,https://www.cmlifeskills.com/,"To inspire hope by serving unmet physical, educational, and spiritual needs in the name of Christ",,Mike Lowe,PO Box 294209,Kerrville,TX,78029,info@cmjckerrcounty.com,(830) 377-1881,Community/Local - single,"Education,Professional Training,Service and Volunteerism",Faith-Based Efforts,,,,,"Faith-Based Organizing/Engagement/Advocacy,Service & Volunteerism",,,,,30.048469,-99.1399464,
League of Women Voters-Hill Country Texas,74-2199653,501(c)(3),,Practitioner Organization,Chapter,,https://lwvhillcountrytexas.org/,"The League of Women Voters, a nonpartisan political organization, encourages the informed and active participation of citizens in government and influences public policy through education and advocacy.",,Janice R Zitelman,PO Box 290303,Kerrville,TX,78029,president@lwvhillcountrytexas.org,(830) 285-1535,Community/Local - multiple,"Education,Communications,Membership",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",,,,,30.048469,-99.1399464,
