"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"998","International Institute of New England, Inc.","Boston","MA","02116","042104325","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",42.3554334,-71.060511
"999","International Rescue Committee HQ","New York","NY","10168","135660870","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",40.7127281,-74.0060152
"1000","International Rescue Committee in Denver","Denver","CO","80222","135660870","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.7392364,-104.984862
"1001","International Rescue Committee, Inc - Miami, FL","Miami","FL","33133","135660870","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",25.7741728,-80.19362
"1002","International Rescue Committee, Inc.","Baltimore","MD","21218","135660870","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",39.2908816,-76.610759
"1003","Interval House","Long Beach","CA","90803","953389113","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",33.7690164,-118.191604
"1004","Iowa Department on Aging","Des Moines","IA","50319","420922943","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",41.5868654,-93.6249494
"1005","Iowa Lakes Community College","Estherville","IA","51334","420929936","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",43.4026638,-94.8363599
"1006","Iowa Legal Aid","Des Moines","IA","50309","421079227","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",41.5868654,-93.6249494
"1007","Isles Inc","Trenton","NJ","08618","222350832","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",40.2203074,-74.7659
"1008","JAMESTOWN, CITY OF INC","Jamestown","ND","58401","456002100","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",46.910544,-98.708436
"1009","JASPER COUNTY AGRICULTURAL EXTENSION DISTRICT","Newton","IA","50208","426021439","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",41.6997139,-93.0538852
"1010","JEFFERSON COUNTY BOARD OF EDUCATION","Louisville","KY","40218","616001316","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.2542376,-85.759407
"1011","JEWISH FAMILY SERVICE AGENCY OF CENTRAL NEW JERSEY INC.","Elizabeth","NJ","07208","221487364","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",40.6639916,-74.2107006
"1012","JEWISH FAMILY SERVICE OF METROWEST, A NEW JERSEY NONPROFIT CORPORATION","Florham Park","NJ","07932","221687995","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",40.7881643,-74.3891647
"1013","JUDICIAL COUNCIL OF CALIFORNIA","San Francisco","CA","94102","943105441","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",37.7792588,-122.4193286
"1014","Jacksonville, City of","Jacksonville","FL","32202","596000344","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures; Veterans and Military Families",30.3321838,-81.655651
"1015","Jamestown Community Center","San Francisco","CA","94110","943213124","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",37.7792588,-122.4193286
"1016","Jannus, Inc.","Boise","ID","83702","816035382","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",43.6166163,-116.200886
"1017","Jefferson Park Ministries Inc","Elizabeth","NJ","07202","010659307","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.6639916,-74.2107006
"1018","Jefferson, Parish Of","Gretna","LA","70053","726013920","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Healthy Futures",29.9146493,-90.0539604
"1019","Jennings Public Schools","Jennings","OK","74038","731137401","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",36.1811784,-96.5697456
"1020","Jericho Road Episcopal Housing Iniatiative","New Orleans","LA","70115","720475542","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",29.9759983,-90.0782127
"1021","Jesse Tree of Idaho, Inc., The","Boise","ID","83702","820534777","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",43.6166163,-116.200886
"1022","Jesuit Volunteer Corps: Northwest","Milwaukie","OR","97222","237361814","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",45.4440051,-122.6412523
"1023","Jewish Council For The Aging Of Greater Washington, Inc.","Rockville","MD","20852","520983740","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.0817985,-77.1516844
"1024","Jewish Family & Vocational Service of Middlesex County, Inc.","North Brunswick","NJ","08902","222281774","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",40.4539249,-74.476545
"1025","Jewish Family Service Agency","Las Vegas","NV","89146","880142948","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",36.1672559,-115.148516
"1026","Jewish Family Service of Atlantic County","Margate City","NJ","08402","222119902","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.327894,-74.5034858
"1027","Jewish Family Services of Washtenaw County, Inc.","Ann Arbor","MI","48104","412147486","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",42.2813722,-83.7484616
"1028","Jewish Family and Children's Services of Northern New Jersey, Inc.","Teaneck","NJ","07666","222223109","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",40.8860164,-74.0072568
"1029","Jewish Renaissance Foundation","Edison","NJ","08837","223439175","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",40.518157,-74.4113926
"1030","Jobs for Arizona's Graduates","Phoenix","AZ","85051","860669709","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",33.4484367,-112.074141
"1031","John Carroll University","University Heights","OH","44118","340714681","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",41.497831,-81.537346
"1032","John H Boner Community Center","Indianapolis","IN","46201","237204495","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.7683331,-86.1583502
"1033","John Wood Community College","Quincy","IL","62305","421027794","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Healthy Futures; Veterans and Military Families",39.9356016,-91.4098727
"1034","Joyful Readers, Inc","Philadelphia","PA","19145","862200001","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.9527237,-75.1635262
"1035","Judiciary Courts of the State of Arizona","Phoenix","AZ","85007","866004791","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",33.4484367,-112.074141
"1036","Jumpstart for Young Children, Inc.","Boston","MA","02210","043262046","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"1037","Junior Achievement of Arkansas","Little Rock","AR","72201","710658775","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",34.7465071,-92.2896267
"1038","Junta Central Para Asuntos De La Vejez Inc","Caguas","PR","00725","660570347","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",18.2345399,-66.0351316
"1039","Justice Innovation Inc.","New York","NY","10018","852810883","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",40.7127281,-74.0060152
"1040","KANKAKEE SCHOOL DISTRICT 111","Kankakee","IL","60901","366004784","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.1200325,-87.8611531
"1041","KANSAS ASSOCIATION FOR CONSERVATION & ENVIRONMENTAL EDUCATION, THE","Manhattan","KS","66502","480850919","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",39.1836082,-96.5716694
"1042","KANSAS CITY TEACHER RESIDENCY, INC","Kansas City","MO","64108","475135488","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.100105,-94.5781416
"1043","KANSAS DEPARTMENT OF WILDLIFE, PARKS AND TOURISM","Topeka","KS","66612","486029925","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",39.049011,-95.677556
"1044","KENTUCKY RIVER AREA DEVELOPMENT DISTRICT, INC.","Hazard","KY","41701","610675786","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",37.2489635,-83.1933893
"1045","KINGDOM HOUSE INC","Saint Louis","MO","63104","430652648","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.6280278,-90.1910154
"1046","KIWANIS ACTIVITIES OF LITTLE ROCK, ARKANSAS INC","Little Rock","AR","72223","716017419","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",34.7465071,-92.2896267
"1047","Kankakee County States Attorney","Kankakee","IL","60901","366006594","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",41.1200325,-87.8611531
"1048","Kansas City Public Library","Kansas City","MO","64105","431497955","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",39.100105,-94.5781416
"1049","Kansas State Department of Education","Topeka","KS","66612","481124839","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",39.049011,-95.677556
"1050","Kauai, County of","Lihue","HI","96766","996000658","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Environmental Stewardship; Healthy Futures",21.9769622,-159.3687721
"1051","Kennebec Valley Community Action Program","Waterville","ME","04901","010277678","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",44.5524176,-69.6313607
"1052","Kennesaw State University Research and Service Foundation","Kennesaw","GA","30144","371535589","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families",34.0234337,-84.6154897
"1053","Kenosha Area Family and Aging Services, Inc","Kenosha","WI","53143","391132382","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",42.5846773,-87.8212263
"1054","Kent State University","Kent","OH","44242","316402079","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",41.1513108,-81.3578047
"1055","Kentucky Conference For Community and Justice","Lexington","KY","40508","371500795","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",38.0464066,-84.4970393
"1056","Kentucky Environmental Education Council","Frankfort","KY","40601","271709532","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",38.2009055,-84.8732836
"1057","Kentucky Health Departments Association, Inc.","Frankfort","KY","40601","311535010","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",38.2009055,-84.8732836
"1058","Kern County Superintendent of Schools","Bakersfield","CA","93301","956000941","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.3738712,-119.019463
"1059","Keystone SMILES Community Learning Center, Inc.","Knox","PA","16232","251764570","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.2323838,-79.5355930186191
"1060","Ki Bois Community Action Foundation Inc","Stigler","OK","74462","730770231","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",35.253708,-95.1230169
"1061","Kid Power, Inc.","Washington","DC","20024","262333511","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",38.8950368,-77.0365427
"1062","Kids in Tech, Inc.","Lowell","MA","01854","813311916","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",42.6414437,-71.3085329
"1063","Knoxville Knox County Community Action Committee","Knoxville","TN","37921","626000700","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",35.9603948,-83.9210261
"1064","Kokua Kalihi Valley Comprehensive Family Services","Honolulu","HI","96819","990149797","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",21.304547,-157.855676
"1065","Korean Community Services of Metropolitan New York, Inc.","Bayside","NY","11361","237348989","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",40.7684351,-73.7770774
"1066","Kupu","Honolulu","HI","96813","510652665","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Environmental Stewardship",21.304547,-157.855676
"1067","LA PUENTE HOME INC","Alamosa","CO","81101","742224631","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",37.469877,-105.8696
"1068","LA WORKS","Los Angeles","CA","90065","954329727","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Healthy Futures",34.0536909,-118.242766
"1069","LAFAYETTE COUNCIL ON THE AGING, INC.","Lafayette","LA","70508","720649877","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",30.2262187,-92.0178202
"1070","LBJ & C DEVELOPMENT CORP","Cookeville","TN","38501","620724384","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",36.1623886,-85.4997057
"1071","LEEZA GIBBONS MEMORY FOUNDATION, INC.","West Hollywood","CA","90048","562356697","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",34.0923014,-118.3692894
"1072","LENAWEE, COUNTY OF","Adrian","MI","49221","386005798","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.8975152,-84.0373054
"1073","LEO INC","Lynn","MA","01901","042378885","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",42.466763,-70.9494939
"1074","LIFESPAN OF GREATER ROCHESTER, INC.","Rochester","NY","14618","160986298","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",43.157285,-77.615214
"1075","LINC ST. CHARLES COUNTY","Wentzville","MO","63385","431632556","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.8244136,-90.8683119
"1076","LITERACY ALLIANCE OF NORTHEAST FLORIDA, INC.","Jacksonville","FL","32202","237153919","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",30.3321838,-81.655651
"1077","LITERACY DELAWARE, INC.","Wilmington","DE","19801","510410054","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.7459468,-75.546589
"1078","LITERACY VOLUNTEERS OF AMERICA-LACLEDE LITERACY COUNCIL","Lebanon","MO","65536","431499659","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",37.6806669,-92.6637835
"1079","LITERATIONS CORP.","Boston","MA","02110","043227007","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"1080","LIVE THE SOLUTION","Tucson","AZ","85704","261151754","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",32.2228765,-110.974847
"1081","LOU CNTRL COMMUNITY CENTER INC","Louisville","KY","40203","610590743","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.2542376,-85.759407
"1082","LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT","Louisville","KY","40202","320049006","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",38.2542376,-85.759407
"1083","LUTHERAN HOMES INC.","Fort Wayne","IN","46816","350885590","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.0799898,-85.1386015
"1084","LUTHERAN SOCIAL SERVICES OF UPSTATE NEW YORK, INC.","Jamestown","NY","14701","160765309","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Environmental Stewardship; Healthy Futures",42.0965167,-79.2380322
"1085","LYCOMING-CLINTON COUNTIES COMMISSION FOR COMMUNITY ACTION INC","Williamsport","PA","17701","231668784","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",41.2493292,-77.0027671
"1086","Lake Avenue Community Foundation","Pasadena","CA","91101","954847950","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",34.1476507,-118.144155
"1087","Lake County Community Fund","Leadville","CO","80461","814684882","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",39.2508229,-106.2925238
"1088","Lancaster County Council on Aging, Inc.","Lancaster","SC","29720","570161585","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.7204257,-80.7709015
"1089","Land And Natural Resources, Hawaii Dept Of","Honolulu","HI","96813","990266119","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",21.304547,-157.855676
"1090","Land of Lincoln Legal Aid","East Saint Louis","IL","62203","370958448","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",38.6268666,-90.159707
"1091","Land of Sky Regional Council","Asheville","NC","28806","561024369","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",35.595363,-82.5508407
"1092","Lane College","Jackson","TN","38301","620570060","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",35.6144446,-88.8177418
"1093","Lane Community College","Eugene","OR","97405","930546223","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",44.0505054,-123.0950506
"1094","Latin American Association Inc","Atlanta","GA","30324","581237316","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",33.7489924,-84.3902644
"1095","Latin American Youth Center, Inc","Washington","DC","20009","521023074","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",38.8950368,-77.0365427
"1096","Laurel","Laurel","MS","39440","640527224","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",31.6940509,-89.1306124
"1097","Lawrence, City of","Lawrence","MA","01840","046001394","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.7070354,-71.1631137
"1098","Lead Up","Lincoln","NE","68508","815090400","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",40.8088861,-96.7077751
"1099","LearnServe International","Washington","DC","20015","800208444","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.8950368,-77.0365427
"1100","Lee County Literacy Coalition","Opelika","AL","36801","631010124","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",32.6454116,-85.3782795
"1101","Leeward District ELL Program","Waipahu","HI","96797","990266482","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",21.3866667,-158.009166
"1102","Legacy Community Health Services Inc","Houston","TX","77006","760009637","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",29.7589382,-95.3676974
"1103","Legal Aid Society of Hawaii","Honolulu","HI","96813","990076020","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",21.304547,-157.855676
"1104","Legal Assistance of Western New York, Inc.","Geneva","NY","14456","160955954","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",42.8690271,-76.9786122
"1105","Lessie Bates Davis Neighborhood House, Inc.","East Saint Louis","IL","62205","370662522","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",38.6268666,-90.159707
"1106","Lewis County Seniors","Chehalis","WA","98532","911171354","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",46.6599653,-122.963432
"1107","Life & Discovery Inc","Frederick","MD","21701","861140556","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",39.415779,-77.4127562
"1108","LifeLong Medical Care","Berkeley","CA","94710","942502308","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",37.8708393,-122.272863
"1109","Lifecycle Building Center","Atlanta","GA","30357","452645951","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",33.7489924,-84.3902644
"1110","Lifescape Community Services, Inc.","Rockford","IL","61101","363303361","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",42.2713945,-89.093966
"1111","Lift Community Action Agency Inc","Hugo","OK","74743","730772321","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",34.0106208,-95.513122
"1112","LiftFund Inc","San Antonio","TX","78207","742712770","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",29.4246002,-98.4951405
"1113","Lilyfield Inc","Edmond","OK","73013","731597486","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.6571367,-97.4649038
"1114","Lincoln Hills Development Corporation","Tell City","IN","47586","351112746","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",37.9508475,-86.7697009
"1115","Lincoln University","Jefferson City","MO","65101","446001089","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.577359,-92.1724265
"1116","Literacy Coalition-South Central Arkansas","Camden","AR","71701","710702254","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",33.5845582,-92.8343294
"1117","Literacy Kansas City","Kansas City","MO","64109","431435729","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",39.100105,-94.5781416
"1118","Literacy Lab, The","Washington","DC","20036","271777117","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",38.8950368,-77.0365427
"1119","Literacy Mid-South","Memphis","TN","38104","620960143","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.1460249,-90.0517638
"1120","Literacy Minnesota","Saint Paul","MN","55114","411916004","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",44.9497487,-93.0931028
"1121","Literacy New Jersey Inc","Edison","NJ","08837","521146384","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",40.518157,-74.4113926
"1122","Literacy Pittsburgh","Pittsburgh","PA","15219","251392652","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",40.4416941,-79.9900861
"1123","Literacy Volunteers Of Illinois","Chicago","IL","60603","363244036","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",41.8755616,-87.6244212
"1124","Little Iron Mom","Cedar Falls","IA","50613","822214679","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",42.5361805,-92.447758
"1125","Little Rock, City Of","Little Rock","AR","72201","716014106","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",34.7465071,-92.2896267
"1126","Local Initiatives Support Corporation","New York","NY","10005","133030229","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",40.7127281,-74.0060152
"1127","Local Redevelopment Authority for Roosevelt Roads","San Juan","PR","00918","660661048","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",18.465299,-66.116666
"1128","Lone Star Association of Charitable Clinics Inc","Austin","TX","78705","331115138","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",30.2711286,-97.7436995
"1129","Lookout Mountain Conservancy","Lookout Mountain","TN","37350","621460535","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Environmental Stewardship",34.9942422,-85.3494027
"1130","Louisiana Delta Service Corps","Baton Rouge","LA","70802","721285695","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",30.4494155,-91.1869659
"1131","Louisiana Department of Veterans Affairs","Baton Rouge","LA","70806","726000840","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Veterans and Military Families",30.4494155,-91.1869659
"1132","Love Community Development Corp","Winston Salem","NC","27105","582463983","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",36.0998131,-80.2440518
"1133","Loyola University Chicago Law School - HJP","Chicago","IL","60611","361408475","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",41.8755616,-87.6244212
"1134","Luella Hannan Memorial Foundation","Detroit","MI","48201","381358386","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.3315509,-83.0466403
"1135","Lutheran Community Services Northwest","Seatac","WA","98188","930386860","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",47.4449086,-122.283084
"1136","Lutheran Social Service of Minnesota","Saint Paul","MN","55108","410872993","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",44.9497487,-93.0931028
